x,y,z
74.8170,687.824,1.076
75.1760,688.009,1.036
75.5500,688.183,1.002
75.9340,688.359,0.965
76.3160,688.526,0.923
76.6750,688.688,0.873
77.0570,688.837,0.841
77.4410,688.998,0.794
77.8850,689.159,0.742
78.2650,689.302,0.705
78.6560,689.439,0.660
79.0170,689.559,0.634
79.4290,689.678,0.600
79.8820,689.806,0.537
80.2550,689.910,0.503
80.6130,689.994,0.464
80.9640,690.059,0.428
81.3540,690.118,0.403
81.7380,690.149,0.364
82.0960,690.177,0.326
82.5290,690.194,0.270
82.9240,690.197,0.212
83.3150,690.190,0.181
83.7440,690.168,0.125
84.2270,690.140,0.084
84.5770,690.110,0.055
84.9990,690.077,0.016
85.8550,690.003,-0.077
86.6570,689.907,-0.129
87.4450,689.836,-0.199
88.0400,689.774,-0.227
88.6400,689.698,-0.264
89.4210,689.601,-0.337
90.4640,689.472,-0.443
91.0050,689.404,-0.480
91.5380,689.354,-0.554
92.3380,689.295,-0.631
93.1760,689.227,-0.667
93.7630,689.150,-0.757
94.6400,689.019,-0.843
95.2200,688.853,-0.904
95.8180,688.747,-0.934
96.3980,688.648,-0.967
97.1990,688.625,-1.023
97.7710,688.525,-1.139
98.4020,688.527,-1.264
99.0160,688.295,-1.361
99.5460,687.831,-1.356
100.1250,687.907,-1.281
100.6800,687.992,-1.249
101.4490,687.987,-1.261
102.2210,687.946,-1.254
102.9150,687.952,-1.247
103.5450,687.945,-1.266
104.1630,687.931,-1.301
104.7900,687.958,-1.283
105.3270,688.015,-1.275
105.8510,688.084,-1.296
106.4680,688.182,-1.285
107.4240,688.298,-1.327
108.2290,688.337,-1.303
109.1630,688.460,-1.315
109.9680,688.543,-1.319
110.6210,688.616,-1.368
111.1210,688.705,-1.416
111.8100,688.777,-1.461
112.3110,688.818,-1.476
112.9700,688.830,-1.528
113.7020,688.886,-1.603
114.5990,688.892,-1.619
115.3340,688.904,-1.664
116.0900,688.862,-1.773
117.0980,688.817,-1.876
118.0300,688.833,-2.031
119.3700,689.097,-2.126
120.0100,688.957,-2.270
121.0770,688.880,-2.359
121.8930,688.817,-2.372
122.6060,688.666,-2.367
123.1620,688.462,-2.313
123.7070,688.271,-2.338
124.4190,688.293,-2.338
125.0010,688.369,-2.361
125.7130,688.570,-2.443
126.2650,688.807,-2.414
126.9030,688.999,-2.455
127.5500,688.905,-2.393
128.2770,688.872,-2.404
128.7890,688.847,-2.454
129.4470,688.828,-2.465
130.0810,688.875,-2.384
130.8290,689.009,-2.406
131.5150,689.101,-2.434
132.2080,689.162,-2.431
132.9090,689.314,-2.523
133.4120,689.236,-2.540
134.2660,689.317,-2.640
134.8470,689.130,-2.574
135.4750,689.106,-2.564
136.1680,689.152,-2.587
136.9040,689.199,-2.627
137.7370,689.299,-2.661
138.0900,689.177,-2.588
138.8470,688.666,-2.628
139.5780,688.660,-2.659
140.3050,688.644,-2.607
141.1570,688.604,-2.622
141.6810,688.410,-2.643
142.2430,688.034,-2.685
142.7690,687.959,-2.674
143.5270,688.116,-2.724
144.1750,688.309,-2.752
145.1520,688.412,-2.819
145.5060,688.310,-2.842
146.2520,688.217,-2.862
